date,SPY,IWM,QQQ,EFA,EEM,XLF,XLK,XLE,TLT,IEF,LQD,GLD,DBC,USO,VNQ,UUP,HYG,MTUM
2008-01-04,0.04788165900774254,0.09029600243756651,0.0974076431508654,0.10320256321424535,0.3167080097649115,0.05722308011083413,0.0745298659689136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-11,0.049185512846673496,0.09598254688972997,0.08454307330247895,0.10552063262508675,0.3052359369964936,0.053745086580618044,0.06465732900459085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-18,0.0432322516770891,0.09363705683312663,0.05756976048242974,0.10679870302730911,0.3053101301464812,0.046747781695212626,0.04776156976991152,0.06092061679919841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-01-25,0.03146427610891677,0.0978651411307524,0.04712361626950719,0.10244551949784712,0.2884447138669449,0.04168957786470829,0.040623731442020694,0.0704003010206775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-01,0.03455956754375422,0.11010214112122468,0.04860172155014664,0.1068527597180169,0.28966238592482585,0.04182843776737424,0.03731048743102076,0.05384038412552685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-08,0.032985781068514936,0.11973710070965049,0.0416161118739364,0.10050438494233807,0.2820150740488704,0.04049535406336246,0.035245000084883474,0.05066388188317619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-15,0.0349249639393198,0.1292710721330622,0.05024190119923601,0.10479188967554054,0.27493989000178626,0.03376705960409353,0.04281404724623771,0.014606501296404971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-22,0.03543041892250815,0.14327206711207022,0.04439350876789831,0.10410636741766355,0.2755990624873675,0.026187904873055612,0.050378775006853796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-02-29,0.02738316833493569,0.14571713716681634,0.04417042274062445,0.12056135405758124,0.2870835978283949,0.025214401402627436,0.044864506823240786,0.02068771021634013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-07,0.02844804139367842,0.12682202143021015,0.04180456024575659,0.11621012217479829,0.2886564158830312,0.027946945659802883,0.045768933067569864,0.044193560354343873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-14,0.03424701055586439,0.11093734470551306,0.04646308852926856,0.11237795193751297,0.28524831549490115,0.02227993351203491,0.045953826329641685,0.054616705443736646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-21,0.028512816606573763,0.07700601104389371,0.041421413769745556,0.080590980718841,0.28511498771465177,0.021242115268173482,0.036445611409844654,0.16252901431823732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-03-28,0.030272487832978114,0.06996739310413473,0.04611408985394245,0.07225364567889415,0.28478051309779334,0.025231353915353086,0.041081807496753824,0.16231830555981816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-04,0.04984261787303348,0.08194858927207935,0.07253448809240247,0.08757244141038878,0.29358553418822436,0.04012272821065097,0.07837291233551345,0.029943953226419222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-11,0.05651430213432992,0.07910473856673432,0.08566780767485091,0.0821652506795153,0.28580034704285134,0.04230764767978446,0.08292135942351006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-18,0.05735316748835175,0.07938084306640021,0.09497715072849602,0.07295415742693774,0.2665073379571462,0.04556030501277423,0.10341119089845821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-04-25,0.055721416991346646,0.07358286181995727,0.09769647435974081,0.0656780824773202,0.2560622021737391,0.04473694475674083,0.11134716677738668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-02,0.059017140534263816,0.07082988560063676,0.04867162424063319,0.0802716340246017,0.27890253946162624,0.04082248840289703,0.11874103638940679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-09,0.06026691946665314,0.07145948088077236,0.03547556455198452,0.06720613493663825,0.2827530093707808,0.035968573810465435,0.14086052880569838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-16,0.0767466921110612,0.06776143261134834,0.03945192794485313,0.07043247816938569,0.27149625796651006,0.03221527582077217,0.12264969675037925,0.01865963147456775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-23,0.07317609829419575,0.06827293179691092,0.04920323980546141,0.07398663747723115,0.2744130931583716,0.020982960451437785,0.10785193456963256,0.018145837342687713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-05-30,0.06912554691950604,0.03880911425744867,0.059743740099811475,0.07712513306351733,0.27273563999420586,0.019967443630957166,0.11619376567129582,0.027218862298044794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-06,0.05178170455483996,0.058991295440399695,0.05008722389942487,0.08033209708546284,0.2770949670640075,0.0,0.13737874046890908,0.028423424229455815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-13,0.06718895560000371,0.054690344496658244,0.06619149927241971,0.06705824912871093,0.2767789099275633,0.0,0.13144067776194318,0.019896232138723983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-20,0.0540361191490415,0.051238870424024266,0.06466677463184332,0.048118620197527405,0.27564919301522217,0.0,0.15792603865345034,0.030128383133835656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-27,0.0608450851590481,0.06398133687894116,0.06556156431455577,0.06557132400018435,0.27290850569933456,0.0,0.10051831085703292,0.049378284278396814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-04,0.04287363837567567,0.04321839280495704,0.056806948048603506,0.057917395968936226,0.27491709071745507,0.0,0.07710930001862958,0.13244220789819405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-11,0.033577416507531786,0.030561897912974964,0.05149693521935014,0.04310495576786426,0.2722525151376139,0.0,0.06587673807961536,0.18369125253869106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-18,0.017376362560701776,0.024614861732471367,0.05240509959759724,0.02093028437654316,0.2708289972620348,0.0,0.06329666191907452,0.22481029736557892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07-25,0.0189891497380161,0.03469091403990373,0.05231710308964915,0.0,0.2882091527702735,0.0,0.07124695863588675,0.23486400813850886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-01,0.02233623777565815,0.02276098502571615,0.051223064756752076,0.0,0.285055409107095,0.0,0.059104442158859016,0.259961138968234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-08,0.019622443325252675,0.0,0.01903256496554738,0.0,0.2854859929779925,0.0,0.08578145346386525,0.2854859929779925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-15,0.015426901765601556,0.0,0.0,0.03820300356780586,0.28458970523937016,0.0,0.07067595021907322,0.28458970523937016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-22,0.018993047589348177,0.0,0.023706967740358208,0.026567208616371928,0.28782823500949417,0.0,0.07325409509101433,0.2845260698883087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
